Site,"Site Name","Traffic Sta",JAN,FEB,"CLASS NOTES",JAN,FEB,"WEIGHT NOTES"
1,LODI,10024,G,G,,G,G,
2,REDDING,2309,G,"P/B "," HIGH CLASS 0 LANES 3 AND 4 GOOD DATA AFTER 2/15/09","P/B ",G,
3,"ANTELOPE EB",3299,G,G,,G,G,
4,"ANTELOPE WB",3300,G,G,,G,G,
5,INDIO,8873,G,"P/B "," HIGH CLASS 0 LANE 3 BAD DATA AFTER 2/20/09",G,G,
7,"SANTA NELLA",10284,G,G,,G,G,
8,"CONEJO SB",7908,G,G,,G,G,
9,"CONEJO NB",7909,G,G,,G,G,
10,FRESNO,6635,G,G,,G,G,"LANES 3 & 4 ARE NOT INSTRAMENTED"
12,"VAN NUYS SB",7902,G,G,,G,G,"NUMBER OF LANES CHANGED "
13,"VAN NUYS NB",7902,B,B,"HIGH CLASS 0 LANES 1,2,3,4,",G,G,"NUMBER OF LANES CHANGED "
14,"SAN MARCOS",11677,B,B,"PIEZOS BAD IN 3 AND 4 LANES ",B,B,"PIEZOS BAD IN 3 AND 4 LANES "
15,"IRVINE SB",12900,G,G,"LIMT CHANGED 3% CLASS 0 03/09",G,G,
16,"IRVINE NB",12900,G,G,,G,G,
17,"HAYWARD SB",4909,"P/B ",G,"CLASS 0 > 9% # 1 LANE GOOD DATA AFER 1/15/09",G,G,
18,"HAYWARD NB",4909,G,G,,G,G,
20,LOLETA,1110,G,G,,G,G,
22,JEFFREY,11624,G,G,,G,G,
23,"EL CENTRO",11638,G,G,,G,G,
24,NAPA,4906,G,G,,G,G,
25,NEWBERRY,8855,G,G,,M,G,
26,CAMERON,11621,G,G,,G,G,
27,TRACY,10082,XX,XX,,XX,XX,
28,MACDOEL,2311,G,G,,G,G,
30,"MT. SHASTA",2310,G,G,,G,G,
31,"WOODSIDE SB",4904,G,G,"WATCH CLASS 15 FOR MARCH 09",G,G,
32,"WOODSIDE NB",4904,G,G,,G,G,
36,"LOS BANOS",10022,M,B,"CLASS 0 HIGH  LANE 1",G,G,
37,"ELSINORE SB",8622,B,B,"CLASS 0 > 7% LANE # 4 ",G,G,
38,"ELSINORE NB",8622,G,G,,G,G,
39,REDLANDS,8857,G,G,,G,G,
40,COACHELLA,8878,B,B,"CLASS 15 >  21 % # 1 LANE ",M,G,
41,"VACAVILLE EB",4901,XX,XX,"UNITL FURTHER NOTICE FROM WIM STAFF DO NOT USE DATA",XX,XX,"UNITL FURTHER NOTICE FROM WIM STAFF DO NOT USE DATA"
42,"VACAVILLE WB",4901,XX,XX,"UNITL FURTHER NOTICE FROM WIM STAFF DO NOT USE DATA",XX,XX,"UNITL FURTHER NOTICE FROM WIM STAFF DO NOT USE DATA"
43,CHOLAME,5544,B,B,"CLASS 0 > 22% LANE 2 ",B,G,
44,BANTA,10121,XX,XX,"UNITL FURTHER NOTICE FROM WIM STAFF DO NOT USE DATA",XX,XX,"UNITL FURTHER NOTICE FROM WIM STAFF DO NOT USE DATA"
46,GALT,3501,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
47,"CASTAIC SB",7906,XX,XX,"RESTRIPED LANES",XX,XX,"RESTRIPED LANES"
48,"CASTAIC NB",7906,XX,XX," RESTRIPED LANES",XX,XX,"RESTRIPED LANES"
49,AUBURN,3200,G,G,,G,G,
50,ELMIRA,4903,B,B,"CLASS O > 6% # 4 LANE  ","M ",G,
51,"WESTSAC EB",3409,G,G,"LOW VOLUME ERROR COUNTS OK",G,G,"LOW VOLUME ERROR COUNTS OK"
52,"WESTSAC WB",3409,G,G,"LOW VOLUME ERROR COUNTS OK",G,G,"LOW VOLUME ERROR COUNTS OK"
57,"PINOLE EB",4902,G,G,"LOW VOLUME ERROR COUNTS OK",G,G,"LOW VOLUME ERROR COUNTS OK"
58,"PINOLE WB",4902,G,G,,G,G,
59,"LA 710 SB",7421,XX,XX,"HIGH CLASS 0 S/B (RESTRIPED LANES)",XX,XX,"HIGH WGT OVER 80 AND 85K (RESTRIPED LANES)"
60,"LA 710 NB",7421,XX,XX,"HIGH CLASS 0 AND CLASS 15 (RESTRIPED LANES)",XX,XX,"HIGH WGT OVER 80 AND 85K (RESTRIPED LANES)"
61,"PERALTA EB",12808,B,B,"CLASS O > 5 % # 1 LANE ",G,G,
62,"PERALTA WB",12808,G,G,,G,G,
63,MURRIETA,8603,G,G,,G,G,
64,"FOSTER CITY",4910,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
65,PIRU,7907,B,G,,B,B,"HIGH INVALIDS # 1 LANE "
66,CALICO,8604,B,B,"CLASS 0 > 10%  # 4 LANE ",B,G,
67,DEVORE,8606,B,B,"HIGH CLASS 0 AND 15 # 4 LANE ","B ",B,"HiGH INVALIDS AND OVER WGT # 4 LANE "
68,GILROY,4911,G,G,,G,G,
69,"FONTANA SB",8605,G,G,"LOW VOLUME ERROR COUNTS ",G,G,"LOW VOLUME ERROR COUNTS OK"
70,"FONTANA NB",8605,G,G,"LOW VOLUME ERROR COUNTS OK",G,G,"LOW VOLUME ERROR COUNTS OK"
71,HINKLEY,8607,G,G,"LOW VOLUME ERROR COUNTS OK",G,G,
72,BOWMAN,3458,G,G,,G,G,
73,STOCKDALE,6201,B,B,"CLASS 0 > 79%    CLASS 15 > 6% # 3 LANE ",G,G,
74,BAKERSFIELD,6202,G,G,,G,G,
75,KEYES,10349,G,G,,G,G,
76,TEMPLETON,5555,G,G,,G,G,"LOW VOLUME ERROR COUNTS OK"
77,"COLTON EB ",8824,G,G,,G,G,
78,"COLTON WB",8824,G,G,,G,G,
79,"ARTESIA EB",7904,XX,XX,"Under constuction ",XX,XX,
